Username,Comment
@india881,У нас волгограде индийский мальчик на индийским вечере с девочкой с танцевал точно также. Эх он был моя первая любовь безответная и сломал мне сердце месте с этой песней и жизнь в клочья.  Сам не захотел  и другим не дал во мне увидеть светлую душу.  Русская девушка которая любила индию страну эту песни стиль религию танцы жизнь .  Индийские мальчики  запомните рас и на всегда русские девушки тоже могут любить и у нас нет как в индии нам родители не могут найти спутника жизни мы сами только своими силами через боль слезы.  Этот парень  пришел в мою жизнь и ушел резко  и разбил мне  всю жизнь своим поганым языком !!!  Думайте сердцем а не ...  И цените тех кто любит вашу страну в россии очень много девушек которые хотят индийскую семейную жизнь со своей мечтой а вы позорите свою страну когда думаете не сердцем а ... .  Если не смогли не захотели не понравилась девушка  не позорьте ее  ...  И дайте шанс познакомиться с тем кто полюбит .  Русские девушки только сами могут познакомиться не мама не папа не кто за нее не решит судьбу от этого и ошибки слезы боль страх если что не так.   Я отвернулась от своей мечты и поплатилась 😢  это больно когда тот кого любила  сам не захотел и не дал  не кому чтоб полюбили он убил мою мечту.
@Gulabhihuve,❤❤❤
@shanebeard2044,Ahloa I’m shanebearddj 😅😅😅
@SKSHOMRAT420,কেও কি আমার নবিজিকে ভালোবাস না।😭😭😭😭
@shanebeard2044,Ahloa I’m shanebearddj 🎉🎉🎉🎉
@21972012145525,I love how they alterned the sound at the end it actually sounds like how a concert would
@patriciovallejos5877,Algun shileno qliooo00000 por aka? 🇨🇱
@AjayChaudhary-li4cg,😂
@jashashaleni9914,Donald shift
@chandanamaswani,Rani Mukherjee mam ur dance moves r amazing.u rocked the dance floor
@SahidAli-yp9zc,Jis jagah se madam chalne lag rahi hai yahan se yahan per sab kya naam hai pitra hai bahut Bhari aur yahan per kuchh nahin Banega ya sab jagah CBI crime branch ko factory koi coach koi kuchh sab yahan sab ki jameen hai 33 lakh mein khareed
@arsheenkarol5924,Anyone watching this in 2023
@bakhtawarmohsin7605,Outstanding dance
@unhhgram2781,Rani is such an underrated dancer
@princek6896,I use to mastubrate by watching rani on black dress
@ayanshsinghal6599,kya Batameezi hai😡 🙏🏾👌
@ayanshsinghal6599,Restpect women's modern girls love from new Delhi
@EmonKhan-eb9wl,Nice Sonsg Beautiful ❤
@sandalipabasara2174,Nice
@pmlpnd3239,Lo encontreeeee❤
@krutikjoshi8147,My favorite song 😊
@sneharaj0914,😂😂😂😂😂😂😂
@SaparbaySulaymanov-bl1je,❤❤❤rani
@Kaynaatkhan-c4r,Rani dance.very nice but Abhishek dance..😂
@muskanaslamkhan1215,Its still a dream for me to dance on this song on the stage 😌 this is so energetic song
@ShivaniPop-lo8hm,Kareem did like me more than Matthew long time ago
@ShivaniPop-lo8hm,Matthew rel eat to do me shit
@RaghavJi-n5e,Have a recipe
@kanchansingh1216,"Amazing dance Rani Mukherjee
Sunidhi chauhan superb song 👌 👌 WAW 🌸💐"
@مجهولمجهول-ك2ع3ظ,💌💝💖❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡💛💛💛💛💛💛💛💛💛💛💛💛💛💚💚💚💚💚💚💚💚💚💙💙💙💜
@مجهولمجهول-ك2ع3ظ,💌💝💖❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡💛💛💛💛💛💛💛💛💛💛💛💛💚💙💙💫💫💫💫💫💫💫💫💙💙💙💙💙💙💙💙💙💙💙💜💜🤎🤎🖤
@مجهولمجهول-ك2ع3ظ,💌💝💖❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡💛💛💛💛💛💛💛💛💛💛💛💚💙
@yashgupta2653,I think this song make Abhishek Bachchan 😊
@mujidatwahab275,I miss my versatile Rani this days .
@FATIHAGALLEZE,rani was something else in this song 🔥
@RaghavJi-n5e,Good day sa❤
@leomessi1leomessi243,🔥🔥🔥❤❤❤
@aqsa257,Handoff u rani very high hill and dance😮
@yerisesthefanylaragutierre3333,4:12
@Sona-ci7cs,"Those days when actress were more performance oriented.. now all is about zero figure , fashion ..."
@feliciaj4245,Rani is a great dancer
@farhanqureshy7038,"Bollywood tallest actor 6.2 feet
Bollywood one of shortest actress 5.0 feet height.. what a chemistry and choreography 
Costumes designers lives in 2030"
@8684rajsoni,Hats off to Shaimak Davar Sir !! Amazing choreography!!
@realarfin.raihan134,"Rani Mukerji setting stage on fire with those 👠 heels, she is just gem of an actor and amongst finest of the dancers..."
@seemakal8429,Phone number
@seemakal8429,ही दोघे कोठे राहतात
@gauravvyas1813,I hear for the drop “on the dance floor oh kudiye”
@ShMayank,The chorus in this song is so amazingly satisfying
@seemakal8429,Hi
@anjuvarma4931,Abhishek dressed like a gay 🚴🏼‍♂️
@ahmadnurfauzi6002,Wardah biru
@hmhasanboy5929,Rani Mukherjee is tha always best
@iamrishit8,You can see Sushant Singh Rajput between Abhishek and Rani @1:23
@MuasddiqSheikh,Goruoom fijs goruoom
@MuasddiqSheikh,Yeh Ganna kab ka hai bar bar sunne ko Dil karta hai...
@akd539,I can't take off my eyes through rani Mukherjee
@studjiten,I think Abhishek is more energetic and is looking great
@faisalnadeem2450,🦋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹💋🌹🦋
@sultan00600,Every  school annual function  girls used to perform on this
@EDITOR.SHAGOR,beautifull best hit song😊
@iqramirza6362,Full of energetic
@snehasingha7511,Just wait and see how the bollywood music industry will ruin it too.. until then enjoy 💃💃
@AM9595-p1k,Rani ke sath ayse dance main Hrithik Roshan houna chaiye ❤❤
@nainasaini4235,Nice body 👌😊 actor Rani mukhrji
@ddomnic1983,Abhishek is Dashing
@suryakoti967,Abhisekh's dance performance was way better than superstar Salman Khan.
@morsoabdelhakim2000,"01 Août 2023

اعلان نتائج التوجيه 😮 كانت اللغة الانجليزية من نصيبي 🥺"
@mylifestyle8593,"So much energetic song 

Rani is something ❤"
@yessicavargas7875,"Jamás me cansaré de ver este video, muy hermoso. Lausica indu me fascina."
@dreamproduction8829,On the dance floor oh mundiye 😂😂😂 gulzar sahab it's mundeya not mundiye
@rkm3611,Abhisek is not made for being Hero. Dance doesn't suit him at all. He should hv focused on negetive roles n serious roles.
@xnervemusic,Timeless song ❤
@NishantSingh-yo3gb,One of the best choreographer in India
@Sabirrajput12346,😘😘😘😘
@mimirara,the choreography can really make you lose weight
@aakashtiwari7594,"Those were peak years of Abhishek Bachchan. Back to back hits-Dhoom,Bunty aur Bubli, Bluffmaster,Kabhi Alvida na Kehna,Dhoom 2,Guru"
@wyethsoto8561,How many of u noticed sushant singh rajput in the background dancers
@abdurrahim3028,2023 main bhi e song shonne ki liye aya 😮
@dhirendrashahu8844,Who noticed 😞 sushant singh Rajput here?
@alikhakandar3880,Croptop of abhishek
@moumitabanerjee3250,One of the best performances of this couple
@vikasmishra8150,It was the no.2 dance no. Of that year..after kajrare
@aakankshapandey5217,A perfect example for a perfect song .......no one found a single loop in it ........this song turn ur song in a party in just a few seconds
@aakankshapandey5217,As 90 kid Rani mukherjee is never my favourite......but when I see her Song like nach baliye .....dil bol haddippa.....Kali nagin si julfien ......dreamum wekaupmm........and lot more .....I found myself stupid ........she is beautiful and fabulous dancer
@AnkurSharma-zt6nx,Today 19 July 2023
@ahmadnurfauzi1919,Ikhlas anna
@anitasharmaSharma-u9s,❤❤❤❤❤❤❤❤𝓷𝓲𝓬𝓮👏👏👏👏
@TechBoyRISHI,"Song kaisa bhi bana rahe ho, achcha ya us'se achcha ya us'se bhi achcha, song ka mood kuch bhi ho Gulzar 🙏ke paas jaaiye, sabse best Lyrics paaiye."
@ahmadnurfauzi6002,Huaweai penyakitnyadua
@yrs_space1629,4:01 🎉
@subhajitbhaduri7029,2023
@pranjal70,Rani’s dance makes the song even better! What superb actress
@Squeen1981,Isi gaane pe... Pahle se leti thi 💉💊... Bta school k bags mei kha chupaya karti thi bta sbko
@Squeen1981,Haan bhiya sunil.. Ooonam sunita aur pinki kandari ka joshila dance
@Squeen1981,Preeti ne kra tha ye dance uski life leei thi vo gandi
@Squeen1981,Nikal gayi bahar uske chungal se iski do bajne hrami thi
@Squeen1981,Witchcraft sindoor
@Squeen1981,Curse born witches
@Squeen1981,Gusse mei dekh le iska hai ye gusaa... Iski bahen achi hai
@Squeen1981,Jada ho gya tha yha ka hisaab
@Squeen1981,Krishna tandav dekh le... Music mei... Lekin yha nikki agaya
@Squeen1981,Witchcraf practice dekh pahle
@Squeen1981,Ab kar danace naach meri pinki tuje paisa milega
@Squeen1981,Ye dekh dhyaan se ye mai thi phale b bagay bhoomika chawala yaad dialaya ni kya beti dekh aradhya devya naam
@ahmadnurfauzi6002,222
@ahmadnurfauzi6002,Gurameasam rujak
@ahmadnurfauzi6002,Jangan 175rb
@ahmadnurfauzi6002,Bambang rianggono yes
@ahmadnurfauzi6002,1750.000
@ahmadnurfauzi6002,Hokben
@ahmadnurfauzi6002,Imam mumin
@kazmeensayyed3068,Amazing choreography
@ahmadnurfauzi6002,Daun warna ijo
@Weirdgirl435,"Nora who? 
I mean look at Rani 
It’s been decades 
She has been the best dancer Bollywood had"
@shrimaanstar9363,Amazing dance by Abhishek 👍
@AnjnliVerma,Love this song ❤️
@jhanak9218,Something is wrong with abishek bacchan torso and leg proportions lol
@deepakpandeyji1745,bahut he shandaar
@faridayeasminesumi577,iam Muslim
@uqbaanzkhan,Rani Mukerji is looking fabulous as hell whereas what have they done with Abhishek?
@ahmadnurfauzi6002,Korea 😂😮 303
@ahmadnurfauzi6002,Gitar nsr 303 anwi
@ahmadnurfauzi6002,Oriflem hanasui anwi 1:08 1:08 1:09 005
@shireenmagsi8105,Rani mukherjee danced on high heels ❤👠
@arturocruz4018,Que rolooooon la rptm
@mst.halima4329,এই  মুভিটি কারা বাংলাদেশ থেকে  দেখছেন তারা একটা 👍দিবিন
@manishmhashilkar8361,what a energetic song nd dance also❤🔥 listening after so many years still better from nowadays
@canstiarania1574,keren
@urvashisharma1819,Kya energy h.....still fav ❤
@kumardeeproy1605,Is there Sushant Singh Rajput among the background dancers.. In the very starting? Right of abhishek bacchan?
@priyasingh-tf1iu,Mai to shushant Singh rajput ko dekhne ke liye ye video dekh rhi hu .... Bhot achha lga chhoti si jhalak dekh ke love you ssr❤
@naveenrao5007,0:44
@Royal_king_hariom_kashyap,West in Rani mukherjee
@hariom.singh1311,Rani mukharjee must be considered as the lady superstar of bollywood
@hariom.singh1311,Maturity is when you realised that abhishek is quit talented actor and dancer with good sense of humour
@theflittingbutterfly,"My favourite song since that time. ❤❤❤❤ I love and still love everything about this song from the track, choreography, Rani's costumes. I used to dance on this song back then. Still now, I could groove to this song.😍"
@siddikshaikh5651,मेरी बबली पता नहीं होगी😅
@aliashkeraa,Feel like put mirchi Inside both of them.
@aliashkeraa,They dance for rupees
@aliashkeraa,THEY THIS PEOPLE CAN EVEN SELL THEIR MOTHER FOR MONEY.mirasi kha kaum
@aliashkeraa,Phuta India kho bewekuf banadia..Mirasi zindabaad
@ramangautam7460,Nice dance 🕺 👌
@rashmiroy7578,"Rani -  Best dancing 
Abhishek  -  Worst Dancing"
@souravchowdhury5973,Omg Abhishek looks like a half ladies 😂
@bablikumari2220,"Best dance performane ever by Rani,full of energy and the best part is in high heels,Omg🙏"
@mahfujaakter3206,Gorgeous Rani Mukharji.What a break on the stage she does.!! Just Awesome.
@devynkumar1997,The costumes are sooooo classic Bollywood
@olympuszeus5362,"This video posted 8 yr ago , finding why no comments 8 yr ago"
@kallyanighoshkallyanighosh8399,"Rani Dee, 
Please join iskon soon. Take the shadow of iskon. Every needs of life they Will take. Unlimited medicines anyone can get with the grace."
@MD.ShahAlam536,"All the best,,,,"
@kallyanighoshkallyanighosh8399,"Rani D,
Remain Alive. 
I know.
U all are very good person. 
I really love u all.
If can go then become immortal witch. Muje lo.
Janeka aak rasta meri pass nehi.
Dunia torkar aaongi"
@foysalprodhan01,Still I  love dance  choreography..
@isloooo,The only real hit film of abisheks career.
@medicanurag6802,04.04.23
@medicanurag6802,04.04.23
@aparnaagnihotri5945,Nach baliye 🎉
@veronicazamora112,This song makes me dance❤❤
@monanaveed7894,Rani of Bollywood for a reason
@monanaveed7894,They both❤
@xennie352,God Rani Mukherjee is so dope .I can't take my eyes off her she dances so well.
@shaahnawazmalik,Wow super
@arunmalhotra1505,Im just trying to find ssr in background dancers ❤️❤️❤️miss u ssr
@SRKxlove,What a rani dance sickness overloaded ❤❤❤❤❤❤ i love you rani
@AnkitVerma-qr5fh,🧊
@kaushikjadav7898,Dj song
@kangkonabiswas4643,💙💙💙
@mohitramani,"Revisited this song in 2023, What an energy boost this song has"
@kangkonabiswas4643,💙💙💙
@khawarkhurshidahmedmalik9445,"The great (est?) Punjabi + Hindi combo song  that I heard over and over for about ...1.3 million times...during the Bunty & Bubbly phase but never made a public comment about it for the very reason that cannot be told now either. Abhishek didn't do as well here as he did (along with the rest of his family ) in that other mesmerizing number ""Kajrarray' of the same film . But Rani had hit like lightening with her super electric energy here. Truly mind-blowing, I thought the song was an absolute must for every Punjabi  Mehndi/Sangeet/Wedding/Dance ...but never said that publicly for the same stupid reason. That's me !"
@Sakshi-sn6qy,"Maturity is
When you realise Abhishek acting skills is better than Salman Khan"
@megharaj1589,Awesome choreography 💕
@CricketBet24,2023 mein kaun sun Raha...
@gargarya4974,5 march 2023
@nksingh2184,Sushant singh rajput spotted behind abhishek
@kangkonabiswas4643,💙💙💙
@deepakmahajan170,Rani was number one actress around 2004 to 2007. I wish she had more peak time. She made movies hit with flop actors like abhisekh
@KILLERGAMING-hr7ct,Yaade🥺
@ravinderpalsingh5182,😁👌 here all are behaving like extras 🤣
@ravinderpalsingh5182,"For peace,just sometimes also watch EXTRAS dancing as you or anyone loveable 💕"
@ravinderpalsingh5182,With due respect 🙏 PRABHU JI literally we are flying though in UNIVERSE 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😇😇😊😊☺️☺️😚😀👌👌😁😉😉🙏🙏🙏🙏🙏🙏
@ravinderpalsingh5182,😁
@kianatishfaq642,Lol nabbing jbjbjbinjnjn.inch.
@ruhikapoor2181,I used to pronounce it 'NACH DANIYE'
@sarthakjasra1101,0:50 - 1:02 look at Our left & Abhishek's right..... That's Sushant!🥹♥️
@salonithakur1807,Feeling bad for Abhishek he gave his heart and soul to this dance🤣🤣
@aminamohammed8177,2023 and still rocking this song❤🔥🔥🔥🔥🔥💯
@SagarKumar-zl8jm,Nic song
@Hrtalks_yasaman,"Before Nora, RANI was dancing in high heels...
You know JUST saying :)"
@priyalrajan5880,This is Shamak Dawar’s Magic
@anupamadk2964,My sister betrayed me 😢
@jagratiaudichya9550,Ab samj aaya urfi back dancer se inspire hokr kapde phnti h 😂😂😂😂
@sulviamahbub4103,Lalala
@IrisLessleyMoskau74,ГалоГены в микстурах Шарко- GLANZnummer
@IrisLessleyMoskau74,Когда у несушек - гормональный. Бром
@IrisLessleyMoskau74,Разорили миноры Совершеннолетних
@IrisLessleyMoskau74,А Вы - СовершенноЛетние?!?
@majmalsaddique9753,Lambu
@maddiehoney1006,Rani is the best ❤ never seen anyone dance so well.
@franzchumita1486,Uno de mis favoritos  que escuché ha e 15 años atras
@fauzamansoor9577,horrible awful dancing skills of abhishek
@sanjidaafrin2848,The set-up is another level!
@nellie9813,They tagged Aishwarya but not Abhishek lmao
@ulto_kothon,How many of you noticed shushant Singh Rajput in the back up dancer ❤️
@107himanshubhushan7,who's here to see Sushant Singh Rajput?
@preeti5331,Kisi ko sushant dikha ho to isme plz batana
@RobheloArt,"Que cancion para mas buena, me encanta!!"
@carljohnson_gtasa,Abhishek bacchan danced 100 times better than Sidharth Malhotra
@ilonaborchert4031,Super Rani ❤️🙏🙏
@a5creations617,Very fast hot song...very entertaining
@jsnode2075,If there is any duplicate role for Abhishek then it would be Ashish Nehra.
@kshitijsrivastava6541,Abhishek has come a really long way from here🤣🤣🤣🤣🤣🤣
@shaluchaudhary2406,Listening this in 2023..... bachpan me har birthday party me ye bja kar dance krte the...🥺
@arsahid,❤️🌾
@arsahid,2023
@anjaliyadav2276,Raani killed it🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥😘😘😘😘😘😘😘........ Abhishek too
@rjripon329,love it
@arshadmayet204,AMAZING....choreography
@kangkonabiswas4643,💙
@najneekhan5303,One of the powerful dance in bollywood
@KBkhanvlog,Childhood memories
@lavishflavour9403,"I was in 2nd when this song was relaeased, I learned all step that and in last year I persformed more than 100 times in this song with same step and I'll definitely perform in my wedding too"
@Xingchenzhilian,"This music is very good, it will make you feel happy and comfortable, you will never get tired of listening to it, I love it,"
@kalpeshbhoir8943,Ranis imagination made abhishek dance 🤣🤣🤣🤣
@guru3487,"I can see why people used to love Bollywood back than

Bollywood was 🔥🔥🔥😍
This song, choreography, picturisation everything is eye catching unlike today's shitty industry"
@nareshudeniya1436,Abishieak Bachchan favourite actor song Rani Mukherjee favourite actress song shashkareshanlongfavatroiesingersong
@kangkonabiswas4643,💙💙💙
@allahrakhi4155,Friend ship
@allahrakhi4155,Idan dey kapry ni pony full bazu alley poney aa
@allahrakhi4155,Idan dy kapry ni pony
@allahrakhi4155,No sunday no monday roz khao dundy
@shanebeard2044,Ahloa I’m shanebearddj awesome music
@Traveling_Subh,"Those golden days🔥
90s kid best time period"
@rishuverma6086,"When you notice legend  Sushant Singh Rajput Dancing, on the left of AB"
@cupidgaming7302,IIT students danced better on this song and thier personal choreography was also too great
@kangkonabiswas4643,💙💙💙
@mymunamim,Fire dance
@King_khan7,Kitna bura lg raha hai ye Abhishek Bachan zahar maarasi look at his physique and dressing 😢
@MohsinKhan-ec2pc,RANI 4:56 ❤👌💃
@AryanKhan-rc9mx,Abhishek bachan hardworking actor
@AryanKhan-rc9mx,Abhishek bachchan is best actor
@Gameslayer-2003,dont know what YRF was thinking when they made a sequel to this masterpiece😂😂.
@mehbubalom4987,rani 👌👌
@kangkonabiswas4643,💙💙💙
@rohanrouth663,Yea flime mene dekhti
@SA-jb3uv,"Couldn't remember the song name, so I just typed in balle balle on a Sunday Sunday"
@davidshrestha1996,"Even those who don't know d of dance will dance to this song. The singers, the music, the lyrics, the spirit... omg the golden era of bollywood music.."
@chetanbajage4465,Who is listning in 2022 novmber
@allahrakhi4155,I just do u agree its choiceof urs. Surprise to ab hum dein gy sab ko 3 months h junaid bhai ki shadi tAb tak ap ka c.p agaye ga inshallah
@allahrakhi4155,Jana ni c.p converts in b.p
@tancvideos,The Best 🔥🔥🔥🔥
@drvenkteshwar147,This song deserve hrithik as cameo...
@janardhan.....3339,अभिषेक तू हिरो बनने लायक नहीं tha सिर्फ अमिताभ ji ke नाम पे तेरा डेरा चल rha tha
@sarojautage5336,Superb dancerssuperb rhythm musical songs bunty and bably superb beautiful actress rani mukherjee and abhishek bachchan 🥂🥂🥂🍫🍫🍫💗💗💗🤫🤫🤫😎😎😎💯🍍🍇🍬🦋🍇🍬🦋🦋🦋🦋🦋🏺🏺🏺💋💋💋🥂🥂🍫🍫🍫💗💗😎😎😎👌👌👌🍫🍫🍫🥂🥂🥂
@ashishgoyal8001,Bastards are enjoying this scene
@nasrinhridy3358,Perfect.. 2022
@rahmatansari277,Very Very nice song 🎵
@lamiya9548,All I am seeing in this video is a young background dancer who had so much energy and potential. The world misses you Sushant Singh Rajput ❤ Hope you found your peace
@preityrihanna6294,I love you music
@pragyajitabhagabati3082,OMG Abhishek danced 😮
@oprahmenaz2695,fom Tanzania Love this song and the actor's.🥰🥰
@mehakbohra4567,💞✈️💞
@pritimallika4367,2022 m meri tarh kon sunne aaya h song 😂...bachpan ki yaad taja ho gyi ...Sunday rangoli DD national
@StudyPoint-bn8bk,This is the starting of sushant singh rajpoot
@user-kw6ez6jt4e,the energy!!!!!
@softmusic1121,Achai grah zain madindh Laila
@softmusic1121,Laila jahan dahah phreah bhair vashkh derast ail zain madindh
@softmusic1121,Zain bhir mailn Laila madindh
@softmusic1121,Adana Laila lgahth phreahb
@danceislove8775,Fv acctrss
@kumarrishu1961,vibe h bhai
@gracepaul1138,I like red colour
@gracepaul1138,Mujhebaspanchcheaganehiyaadhainorkuchbhiyaadnahih
@videoclipsonpakistanipolit8755,The dance steps of Abhishek are not complete even in completed song. Just looked like a dummy dancing with threads🙅🙅🙅
@decocade1659,Is anyone noticed sushant sing rajput playing dancing behind abbishek
@ramkamble7159,Real queen of bollywood is Rani mukharjee.... Not kangana ranavat...
@sarimahmad883,Rani 😍😍😍😍😍
@abusaeedkazi9667,Legendary song
@bilamfauji1234,Choreograph ni kia hai ye song Abhishek ne khud ana style liya hai
@Mivaan_Musical,Love from hyderabad 😍🥰😘
@heshanshashintha7020,❤❤❤❤❤
@90zkid,"If you watch closely at 1:00 you can see Sushant Singh Rajput dancing as one of the background dancers on the left side of Abhishek Bachchan.
Tip : watch it at .5X
Also at 1:25"
@kritikumari4124,After seeing her dancing in Aiyyaa movie (aga bai song)I realized how good she is in dancing (all the belly dance moves ) which I was ignoring before .she was always a good dancer and the expression she gives while dancing .
@anchalthakur9632,Anyone 2022
@princeking7605,2022/09/13
@vijay6291,How many came to see Sushaant dancing as a back dancer??
@geetajoshi8372,Children dance much better than adults  ladies should be better in dancing no need to show half jacked bodies
@nilgribbanerjee159,sadly he was never meant for dance...... good job anyway 🙂
@bharatbarot5861,"Everyone talking about Rani Mukherjee' performance and choreography...but nobody talking about this amazing singing n composition of Shankar Ehsaan Loy...

Thanks for likes 😀"
@donabiswas6266,Rani is such a star
@donabiswas6266,Jr AB is embarassing
@aqsaabdullah6832,Fire hai rani fire
@kangkonabiswas4643,💙💙💙
@vishusharma7251,4:10 that's master marzi
@tusharsalhan1499,Rani’s dance steps were outstanding but choreographer must have had some personal grudges with abhishek 😂🙏🏻 x
@nasuutahir6025,Miss those days these kinda movies and masterpiece songs 😭🤍🇸🇴
@afsankhan6984,Abe yr kya dance kiya hai Rani Mam ne
@afsankhan6984,Nach baliye oye chaddhi chadha du🤣🤣🤣
@ayushseth4709,I searched it and my depression vapourised... I became a child back again
@gitanjalisheth5731,like this comment if you're SSR fan...can be seen as a background dancer... Amazing ❤️ #SSR
@heytherezunairah,"Rani is unmatched, of course, in all aspects; her energy, her beauty, her charm and her endless supply of unabridged talent. she is truly the heart and soul of this less-than-likable song. 

but man, I can't focus on anything anymore except for Sushant in the background. rest easy, angel. 🕊️"
@hasinkhan9428,Rani meri jaan......i am sana
@salimamalek3309,Yessjantummarehomarehotumsarpmarehotummatumare
@salimamalek3309,Yessjantumarepasanahajanutumarebahomatumareawussunugetumapervaranajrosadakhugetumakubkubperkorugemarebadsa
@salimamalek3309,Yessjantumareawusthe
@salimamalek3309,Mareyesskoallapaklombeummardolombeummardohorhalmahepajatkoromareyessmarebadsako
@salimamalek3309,Yessjanlotayopasmarebahomamaresenasalagjaomarebadsa
@nikhelkumar2697,Super dance
@salimamalek3309,Mareyessmaregoodgoodboyejanuyessjanhumdonosadekoragahjnuhumdonomilkagendagebetayagahumdonodonokasatkobevenychoragayessjansarauadanevaugepuredilsailoveuyessmareyessmaresarketajmarebadsahotummarehotummatumare
@tesfayeyeshambel,😍🥰😘🙏😍🥰🥰🥰🙏😍😍🥰❤
@tanusingh8420,Abhishek Bachchan ko kon kon bolta hai ki use acting or dancing nhi aati...wo apni aankhe faad ke ye movie or iske song dekhle.... Abhishek is always a great actor❤️🥰
@aiswaryalakshmi2032,Rani mukerjee in that final white dress ❤
@abhilashh3904,I am here to admire Ranji Mukherjee beauty 😍 hot
@salimamalek3309,Sabmarehamarehotummatumare
@salimamalek3309,Hjnuthoremotaorlombahuye
@salimamalek3309,Hjnumaremohobatjaggayethorelombehogaye
@salimamalek3309,Januohjanudakhonamujayeadkore
@salimamalek3309,Janujagaomaremohobatkohatosa
@salimamalek3309,Janudakhomujayeadkore
@salimamalek3309,Hjnuhatlagakadakho
@salimamalek3309,Yessjanmaremohobatkyseha
@salimamalek3309,Hjnumaremohobatkyseha
@salimamalek3309,Mareyessmaregoodgoodboye
@salimamalek3309,Mareyessmaregoodgoodboye
@salimamalek3309,Januyessjantummaresarketajmarebadsahotummarehotummatumaremareyessmarehotummatumare
@aminahbeh7107,Rani❤️
@thecookingfoodie3796,your one click can change my whole life please
@payalgoel9215,Rani is the most underrated dancer in bollywood.....watch her in aiyya and you will get to know
@Sumit-yy8md,Presentation for those who have real music taste...
@bhawana2384,Wiley ffgfyzyduyyrgrydkdgkdykryrykygtrhurfgh ha hgryjteujueajsfndgjjmthtmrykgrhtgdgngdshmtfzsfhmgsfsflytsfhskykskykhfksumysltlulutud
@hrishabhhh,Rani Mukherjee is looking beautiful than ever....!!
@nikhil1247,Rani yaar kya bolu boht zabardast dance and expression.....
@realindian4371,Shiamak Davar is One of the Best choreographer 👍❤️❤️❤️
@vishallmathur6117,"Rani Mukherjee is looking sooo stunning!
And the energy she brings into the song is superb ❤️"
@khalsasikhpunjabda,Very fast song.... Easily 20 years ahead of its time
@AnupamArjel16,You will not believe me that Behind Abhishek there is our beloved Sushant as a back dancer❤🥺
@mansiera,Why no one is apperciating Abhishek 🥺 He danced way too better and his costumes 😍
@rohit1667,Anyone from 2022 😁
@chanchalyadav9233,💥💥Rani mukherjee💥💥
@tapashibagchi6341,"Poor Abhishek , it’s hard to match up to Rani .. she’s a phenomenon"
@فهدناجياحمدعلي,اسم الفيلم
@shrimaanstar9363,Who in 2023
@anujpardeshi1343,Bachpan ki yaade taaja kar diya is gaane ne kasam se mujhe aaj bhi yaad hai me 6th class me tha tab ye movie release hui thi kasam se roj school jaage samay radio mirchi pe sunta tha kasam se kya din the vo bhi aaj kal ke bacche kya jaane hamare us samay ka dhamaka 😎
@priyamvada-11,I think the background dancer between Abhishek and Rani at 4.28 is Sushant Singh Rajput!
@Edufacts1M,Sushant Singh had also danced behind Abhishek Bachchan in this song...Find him.out❤️
@Walarmvlogs,How dhilla this abhishek is😒😠 just look at rani's dance expression energy wow mind blowing 😍😻🔥💯
@trp3628,My fev childhood song because when in Mumbai in flood 26 july 2005 I'm in boat going to safe place from my house that time I'm listening this song in my radio 📻 what a memory ❤
@Savdeep86072,2:40 😎👌
@rohinis549,❣️👏
@naeemalitv7.8.62,Who listen this song after 15 years
@TejpalSingh-ey1nb,Rip legend sidhu mooswala
@thegalaxy4638,nice
@ravinderpalsingh5182,Kabh😊🙋‍♀️🙋‍♀️🙋‍♀️🙋‍♀️🙋🙋🙋‍♂️💁 PRABHU
@swastikahumagain6982,Rani’s style was wayyyyyyy ahead of her time man she killed it.
@annjoseph5429,How Abhishek Bachchan became saif ali khan in bunty babli 2
@sangeetarajput7122,"Do you all noticed it , that rani is wearing skin colour legging inside stalkings , she is not bare!! But due to the lighting it is giving illusion as if she is with bare legs but it is not so !! Anyway she is so so pretty 😘😘❤️"
@sangeetarajput7122,"Rani rani and my rani , you are just amazing there is no one to beat you !! You are perfect epitome of real beauty 😘❤️❤️❤️❤️ love you rani !! Your heartiest fan !❤️"
@Sumit-yy8md,those who are listening this song they have real taste of music 🎶 🎵
@sharvarikelkar7725,Rani Mukherjee 😍😍
@sahelidas8309,Here one more time for this music and ofcourse Rani Mukherji ❤️🔥
@ManishKumar-gv6ns,Most underrated actress of Bollywood Rani ❤️❤️...nd best dancers also..she is fire 🔥🔥 dude 👍👍
